grand prix,team_name,date,points
Bahrain,Mclaren Mercedes,2-Mar-24,12
Bahrain,Alpine Renault,2-Mar-24,0
Bahrain,Aston Martin Aramco Mercedes,2-Mar-24,3
Bahrain,Rb Honda Rbpt,2-Mar-24,0
Bahrain,Mercedes,2-Mar-24,16
Bahrain,Williams Mercedes,2-Mar-24,0
Bahrain,Red Bull Racing Honda Rbpt,2-Mar-24,44
Bahrain,Kick Sauber Ferrari,2-Mar-24,0
Bahrain,Ferrari,2-Mar-24,27
Bahrain,Haas Ferrari,2-Mar-24,0
Saudi Arabia,Mercedes,9-Mar-24,10
Saudi Arabia,Williams Mercedes,9-Mar-24,0
Saudi Arabia,Rb Honda Rbpt,9-Mar-24,0
Saudi Arabia,Mclaren Mercedes,9-Mar-24,16
Saudi Arabia,Ferrari,9-Mar-24,22
Saudi Arabia,Aston Martin Aramco Mercedes,9-Mar-24,10
Saudi Arabia,Red Bull Racing Honda Rbpt,9-Mar-24,43
Saudi Arabia,Alpine Renault,9-Mar-24,0
Saudi Arabia,Haas Ferrari,9-Mar-24,1
Saudi Arabia,Kick Sauber Ferrari,9-Mar-24,0
Australia,Ferrari,24-Mar-24,44
Australia,Williams Mercedes,24-Mar-24,0
Australia,Rb Honda Rbpt,24-Mar-24,6
Australia,Mercedes,24-Mar-24,0
Australia,Mclaren Mercedes,24-Mar-24,27
Australia,Aston Martin Aramco Mercedes,24-Mar-24,12
Australia,Red Bull Racing Honda Rbpt,24-Mar-24,10
Australia,Haas Ferrari,24-Mar-24,3
Australia,Kick Sauber Ferrari,24-Mar-24,0
Australia,Alpine Renault,24-Mar-24,0
Japan,Williams Mercedes,7-Apr-24,0
Japan,Red Bull Racing Honda Rbpt,7-Apr-24,44
Japan,Mercedes,7-Apr-24,8
Japan,Aston Martin Aramco Mercedes,7-Apr-24,8
Japan,Haas Ferrari,7-Apr-24,0
Japan,Rb Honda Rbpt,7-Apr-24,1
Japan,Mclaren Mercedes,7-Apr-24,14
Japan,Ferrari,7-Apr-24,27
Japan,Alpine Renault,7-Apr-24,0
Japan,Kick Sauber Ferrari,7-Apr-24,0
